query time,processing time,input event instants,input state intervals,input dynamic phe. intervals,user event instances,user event instants,user state instances,user state intervals,user dynamic phe. instances,user dynamic phe. intervals
1444680001,438,41212,0,0,209,40802,2052,3408,63,80
1444687201,427,36805,0,0,213,36409,2063,3300,47,57
1444694401,398,33041,0,0,183,32742,2034,3243,21,31
1444701601,386,29782,0,0,173,29533,2028,3220,28,52
1444708801,370,27761,0,0,169,27559,2025,3421,52,62
1444716001,383,27721,0,0,135,27517,2019,3427,40,50
1444723201,436,29670,0,0,146,29439,2029,3821,55,88
1444730401,456,35326,0,0,164,34911,2059,4358,57,91
1444737601,456,38240,0,0,159,37705,2062,4334,65,110
1444744801,483,39111,0,0,156,38565,2057,4250,61,104
1444752001,477,39271,0,0,159,38679,2052,3815,54,76
1444759201,431,36678,0,0,158,36219,2065,3361,35,48
1444766401,401,34326,0,0,162,33973,2064,3215,40,51
1444773601,401,32200,0,0,160,31869,2067,3299,31,39
1444780801,384,29005,0,0,135,28765,2040,3373,24,31
1444788001,387,27531,0,0,138,27300,2041,3470,33,63
1444795201,393,26009,0,0,134,25790,2047,3708,36,65
1444802401,391,26173,0,0,139,25938,2063,3675,38,67
1444809601,373,27617,0,0,159,27342,2089,3767,46,81
1444816801,497,29263,0,0,168,28980,2101,3763,38,55
1444824001,431,32366,0,0,163,32023,2113,3499,41,55
1444831201,433,35722,0,0,154,35362,2125,3558,38,48
1444838401,452,37521,0,0,150,37118,2129,3395,27,37
1444845601,467,37858,0,0,149,37437,2130,3346,36,49
1444852801,429,35826,0,0,161,35442,2149,3469,55,64
1444860001,408,31872,0,0,160,31533,2152,3420,43,55
1444867201,364,26980,0,0,161,26704,2147,3338,30,37
1444874401,338,22286,0,0,149,22074,2129,3277,24,29
1444881601,324,20482,0,0,139,20303,2127,3338,19,23
1444888801,333,20565,0,0,154,20383,2136,3271,15,19
1444896001,389,26011,0,0,180,25741,2176,3753,49,80
1444903201,411,31768,0,0,181,31418,2190,4155,52,119
1444910401,443,35808,0,0,169,35432,2201,4105,56,130
1444917601,522,39419,0,0,164,38974,2207,4161,51,126
1444924801,469,38865,0,0,178,38435,2216,3813,56,101
1444932001,445,35488,0,0,178,35124,2215,3580,68,94
1444939201,406,32597,0,0,170,32274,2194,3562,56,84
1444946401,379,27828,0,0,142,27583,2155,3582,45,74
1444953601,343,23162,0,0,115,23006,2128,3615,41,57
1444960801,333,20409,0,0,103,20280,2108,3464,18,28
1444968001,299,19456,0,0,113,19312,2123,3624,10,18
1444975201,352,22950,0,0,120,22757,2137,3935,16,19
1444982401,356,27222,0,0,124,26970,2153,4159,32,37
1444989601,384,32082,0,0,139,31757,2184,4522,44,53
1444996801,390,34551,0,0,135,34195,2180,4353,34,50
1445004001,401,34039,0,0,137,33718,2185,4040,36,49
1445011201,399,34039,0,0,141,33709,2191,3813,38,63
1445018401,368,32532,0,0,128,32233,2171,3554,30,57
1445025601,422,29183,0,0,119,28914,2165,3426,37,59
1445032801,320,23994,0,0,108,23771,2160,3185,26,38
1445040001,309,18032,0,0,87,17902,2130,2997,4,8
1445047201,282,13702,0,0,79,13615,2122,2800,3,3
1445054401,272,12651,0,0,87,12579,2134,2844,4,4
1445061601,270,14415,0,0,90,14321,2137,3051,0,0
1445068801,272,17272,0,0,105,17151,2163,3147,18,19
1445076001,300,19897,0,0,104,19759,2168,3199,19,20
1445083201,295,20701,0,0,98,20568,2162,3142,18,19
1445090401,300,20456,0,0,100,20328,2159,2964,24,25
1445097601,289,19241,0,0,97,19126,2155,2842,13,13
1445104801,295,19422,0,0,94,19323,2147,2963,27,32
1445112001,296,20775,0,0,102,20670,2163,3007,26,32
1445119201,319,22683,0,0,109,22555,2176,3075,16,21
1445126401,319,21577,0,0,110,21437,2179,3104,7,11
1445133601,278,17812,0,0,114,17674,2180,2917,1,1
1445140801,282,17068,0,0,116,16925,2186,2950,2,2
1445148001,308,19032,0,0,129,18863,2204,3104,7,9
1445155201,336,25307,0,0,125,25108,2217,3353,17,20
1445162401,365,29848,0,0,121,29614,2225,3442,22,25
1445169601,347,30238,0,0,113,30007,2223,3364,18,21
1445176801,328,26759,0,0,98,26576,2209,3103,14,14
1445184001,317,23275,0,0,94,23100,2199,2834,16,16
1445191201,309,23123,0,0,100,22939,2217,2903,10,10
1445198401,328,23537,0,0,107,23345,2240,2990,40,40
1445205601,303,23514,0,0,112,23335,2239,3227,37,55
1445212801,335,22257,0,0,121,22106,2244,3478,39,63
1445220001,327,21068,0,0,126,20928,2247,3552,38,53
1445227201,334,22653,0,0,128,22492,2267,3762,48,67
1445234401,354,24614,0,0,151,24399,2306,3775,45,54
1445241601,394,29470,0,0,173,29127,2339,4003,84,122
1445248801,411,32695,0,0,163,32281,2338,4160,87,191
1445256001,446,34761,0,0,163,34329,2332,4114,70,180
1445263201,463,38017,0,0,164,37560,2345,4132,61,168
1445270401,466,36072,0,0,160,35658,2356,3834,55,128
1445277601,459,34707,0,0,159,34377,2349,3711,43,69
1445284801,428,30935,0,0,145,30667,2335,3606,37,57
1445292001,411,26189,0,0,118,25990,2307,3631,26,44
1445299201,403,24473,0,0,94,24358,2288,3755,21,37
1445306401,400,23488,0,0,107,23370,2304,3741,34,52
1445313601,410,23263,0,0,115,23116,2312,3892,26,51
1445320801,411,24737,0,0,145,24541,2340,4047,29,52
1445328001,436,27812,0,0,164,27536,2369,4311,35,58
1445335201,459,30660,0,0,157,30350,2369,4315,40,72
1445342401,444,28980,0,0,148,28684,2372,4000,42,69
1445349601,450,30054,0,0,138,29799,2383,3667,34,56
1445356801,422,27941,0,0,152,27703,2379,3255,30,42
1445364001,414,25029,0,0,150,24801,2378,3335,26,41
1445371201,436,28200,0,0,160,27962,2396,3467,30,42
1445378401,486,28516,0,0,148,28245,2405,3656,30,41
1445385601,450,29433,0,0,117,29197,2375,3767,32,36
1445392801,429,30938,0,0,133,30721,2379,3736,6,8
1445400001,428,31087,0,0,130,30854,2373,3962,13,17
1445407201,446,30282,0,0,133,30069,2376,4005,19,20
1445414401,478,30768,0,0,157,30511,2399,4145,33,37
1445421601,451,31031,0,0,170,30773,2415,4182,36,51
1445428801,494,34095,0,0,211,33786,2464,4016,45,63
1445436001,498,35416,0,0,242,35060,2515,3936,33,44
1445443201,500,36106,0,0,285,35633,2577,3921,40,69
1445450401,498,38406,0,0,319,37774,2634,4015,50,72
1445457601,487,36869,0,0,303,36211,2633,4131,47,67
1445464801,531,38004,0,0,317,37160,2666,4414,56,87
1445472001,550,35718,0,0,282,35023,2617,4475,42,58
1445479201,502,34030,0,0,304,33395,2651,4446,35,53
1445486401,492,34568,0,0,314,33847,2661,4624,11,20
1445493601,495,32767,0,0,310,32195,2680,4551,34,44
1445500801,559,40630,0,0,342,39942,2726,5014,63,92
1445508001,555,42414,0,0,299,41740,2703,5191,72,146
1445515201,547,42950,0,0,250,42394,2697,5093,74,167
1445522401,554,44967,0,0,226,44462,2698,4944,77,158
1445529601,531,39365,0,0,218,38894,2699,4356,65,117
1445536801,518,36245,0,0,215,35827,2712,4172,57,81
1445544001,503,34042,0,0,239,33624,2737,4225,58,73
1445551201,512,33788,0,0,279,33279,2800,4372,37,68
1445558401,486,32153,0,0,304,31635,2821,4496,39,80
1445565601,488,31765,0,0,338,31207,2851,4528,37,77
1445572801,503,31495,0,0,340,30926,2855,4530,30,70
1445580001,504,29666,0,0,310,29155,2851,4703,32,71
1445587201,504,31917,0,0,298,31433,2870,4611,40,84
1445594401,508,33033,0,0,288,32588,2878,4583,45,94
1445601601,506,32584,0,0,261,32188,2875,4462,53,108
1445608801,496,32163,0,0,262,31798,2884,4174,50,91
1445616001,511,31215,0,0,232,30847,2884,4153,44,89
1445623201,478,29729,0,0,186,29376,2861,4069,41,68
1445630401,470,28170,0,0,180,27842,2851,3933,39,58
1445637601,464,25771,0,0,157,25491,2838,3785,40,50
1445644801,440,21503,0,0,143,21328,2828,3684,18,18
1445652001,449,21929,0,0,163,21746,2854,3793,6,6
1445659201,484,25079,0,0,162,24873,2868,4078,1,1
1445666401,483,26859,0,0,151,26616,2879,4207,17,17
1445673601,508,27973,0,0,154,27698,2896,4285,22,31
1445680801,486,27059,0,0,144,26788,2900,4108,31,44
1445688001,449,24617,0,0,133,24357,2903,3853,32,55
1445695201,463,24875,0,0,136,24588,2922,3682,29,37
1445702401,455,25031,0,0,122,24754,2910,3601,15,22
1445709601,498,25875,0,0,119,25611,2901,3732,17,29
1445716801,466,28790,0,0,101,28521,2887,3763,11,18
1445724001,476,29164,0,0,88,28956,2875,3942,12,23
1445731201,510,29733,0,0,80,29549,2865,4084,7,17
1445738401,493,29022,0,0,75,28874,2866,4206,3,16
1445745601,510,26876,0,0,82,26763,2869,4453,3,16
1445752801,484,26401,0,0,85,26278,2876,4682,5,20
1445760001,516,28533,0,0,102,28363,2893,4740,8,28
1445767201,588,33253,0,0,128,32977,2935,4694,29,43
1445774401,550,35435,0,0,141,35106,2964,4443,37,58
1445781601,521,35032,0,0,156,34694,2986,4194,38,58
